"team1","team2","team1_score","team2_score","toss_winner","toss_choice","winner","margin","man_of_the_match","stadium","place","Home_Ground"
"Mumbai Indians","Rajasthan Royals",193,136,"Mumbai Indians","Bat","Mumbai Indians","57 runs","Suryakumar Yadav","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Kolkata Knight Riders","Chennai Super Kings",167,157,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","10 runs","Rahul Tripathi","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Sunrisers Hyderabad","Punjab Kings",201,132,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","69 runs","Jonny Bairstow","Dubai International Cricket Stadium","Dubai","Neutral"
"Delhi Capitals","Rajasthan Royals",184,138,"Rajasthan Royals","Field","Delhi Capitals","46 runs","Ravichandran Ashwin","Sharjah Cricket Stadium","Sharjah","Neutral"
"Kolkata Knight Riders","Punjab Kings",164,162,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","2 runs","Dinesh Karthik","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Royal Challengers Bangalore","Chennai Super Kings",169,132,"Royal Challengers Bangalore","Bat","Royal Challengers Bangalore","37 runs","Virat Kohli","Dubai International Cricket Stadium","Dubai","Neutral"
"Sunrisers Hyderabad","Rajasthan Royals",158,163,"Sunrisers Hyderabad","Bat","Rajasthan Royals","5 wickets","Rahul Tewatia","Dubai International Cricket Stadium","Dubai","Neutral"
"Delhi Capitals","Mumbai Indians",162,166,"Delhi Capitals","Bat","Mumbai Indians","5 wickets","Quinton de Kock","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Royal Challengers Bangalore","Kolkata Knight Riders",194,112,"Royal Challengers Bangalore","Bat","Royal Challengers Bangalore","82 runs","AB de Villiers","Sharjah Cricket Stadium","Sharjah","Neutral"
"Chennai Super Kings","Sunrisers Hyderabad",167,147,"Chennai Super Kings","Bat","Chennai Super Kings","20 runs","Ravindra Jadeja","Dubai International Cricket Stadium","Dubai","Neutral"
"Delhi Capitals","Rajasthan Royals",161,148,"Delhi Capitals","Bat","Delhi Capitals","13 runs","Anrich Nortje","Dubai International Cricket Stadium","Dubai","Neutral"
"Royal Challengers Bangalore","Punjab Kings",171,177,"Royal Challengers Bangalore","Bat","Punjab Kings","8 wickets","KL Rahul","Sharjah Cricket Stadium","Sharjah","Neutral"
"Kolkata Knight Riders","Mumbai Indians",148,149,"Kolkata Knight Riders","Bat","Mumbai Indians","8 wickets","Quinton de Kock","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Rajasthan Royals","Royal Challengers Bangalore",177,179,"Rajasthan Royals","Bat","Royal Challengers Bangalore","7 wickets","AB de Villiers","Dubai International Cricket Stadium","Dubai","Neutral"
"Chennai Super Kings","Delhi Capitals",179,185,"Chennai Super Kings","Bat","Delhi Capitals","5 wickets","Shikhar Dhawan","Sharjah Cricket Stadium","Sharjah","Neutral"
"Kolkata Knight Riders","Sunrisers Hyderabad",163,163,"Sunrisers Hyderabad","Field","Tied","Tied","Lockie Ferguson","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Mumbai Indians","Punjab Kings",176,176,"Mumbai Indians","Bat","Tied","Tied","KL Rahul","Dubai International Cricket Stadium","Dubai","Neutral"
"Chennai Super Kings","Rajasthan Royals",125,126,"Chennai Super Kings","Bat","Rajasthan Royals","7 wickets","Jos Buttler","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Delhi Capitals","Punjab Kings",164,167,"Delhi Capitals","Bat","Punjab Kings","5 wickets","Shikhar Dhawan","Dubai International Cricket Stadium","Dubai","Neutral"
"Kolkata Knight Riders","Royal Challengers Bangalore",84,85,"Kolkata Knight Riders","Bat","Royal Challengers Bangalore","8 wickets","Mohammed Siraj","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Rajasthan Royals","Sunrisers Hyderabad",154,156,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","8 wickets","Manish Pandey","Dubai International Cricket Stadium","Dubai","Neutral"
"Chennai Super Kings","Mumbai Indians",114,116,"Mumbai Indians","Field","Mumbai Indians","10 wickets","Trent Boult","Sharjah Cricket Stadium","Sharjah","Neutral"
"Kolkata Knight Riders","Delhi Capitals",194,135,"Delhi Capitals","Field","Kolkata Knight Riders","59 runs","Varun Chakravarthy","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Punjab Kings","Sunrisers Hyderabad",126,114,"Sunrisers Hyderabad","Field","Punjab Kings","12 runs","Chris Jordan","Dubai International Cricket Stadium","Dubai","Neutral"
"Royal Challengers Bangalore","Chennai Super Kings",145,150,"Royal Challengers Bangalore","Bat","Chennai Super Kings","8 wickets","Ruturaj Gaikwad","Dubai International Cricket Stadium","Dubai","Neutral"
"Mumbai Indians","Rajasthan Royals",195,196,"Mumbai Indians","Bat","Rajasthan Royals","8 wickets","Ben Stokes","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Kolkata Knight Riders","Punjab Kings",149,150,"Punjab Kings","Field","Punjab Kings","8 wickets","Chris Gayle","Sharjah Cricket Stadium","Sharjah","Neutral"
"Sunrisers Hyderabad","Delhi Capitals",219,131,"Delhi Capitals","Field","Sunrisers Hyderabad","88 runs","Wriddhiman Saha","Dubai International Cricket Stadium","Dubai","Neutral"
"Royal Challengers Bangalore","Mumbai Indians",164,166,"Mumbai Indians","Field","Mumbai Indians","5 wickets","Suryakumar Yadav","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Kolkata Knight Riders","Chennai Super Kings",172,178,"Chennai Super Kings","Field","Chennai Super Kings","6 wickets","Ruturaj Gaikwad","Dubai International Cricket Stadium","Dubai","Neutral"
"Punjab Kings","Rajasthan Royals",185,186,"Rajasthan Royals","Field","Rajasthan Royals","7 wickets","Ben Stokes","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Delhi Capitals","Mumbai Indians",110,111,"Mumbai Indians","Field","Mumbai Indians","9 wickets","Ishan Kishan","Dubai International Cricket Stadium","Dubai","Neutral"
"Royal Challengers Bangalore","Sunrisers Hyderabad",120,121,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","5 wickets","Sandeep Sharma","Sharjah Cricket Stadium","Sharjah","Neutral"
"Punjab Kings","Chennai Super Kings",153,154,"Chennai Super Kings","Field","Chennai Super Kings","9 wickets","Ruturaj Gaikwad","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Kolkata Knight Riders","Rajasthan Royals",191,131,"Rajasthan Royals","Field","Kolkata Knight Riders","60 runs","Pat Cummins","Dubai International Cricket Stadium","Dubai","Neutral"
"Royal Challengers Bangalore","Delhi Capitals",152,154,"Delhi Capitals","Field","Delhi Capitals","6 wickets","Anrich Nortje","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Mumbai Indians","Sunrisers Hyderabad",149,151,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","10 wickets","Shahbaz Nadeem","Sharjah Cricket Stadium","Sharjah","Neutral"
"Mumbai Indians","Delhi Capitals",200,143,"Delhi Capitals","Field","Mumbai Indians","57 runs","Jasprit Bumrah","Dubai International Cricket Stadium","Dubai","Neutral"
"Royal Challengers Bangalore","Sunrisers Hyderabad",131,132,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","6 wickets","Kane Williamson","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Delhi Capitals","Sunrisers Hyderabad",189,172,"Delhi Capitals","Bat","Delhi Capitals","17 runs","Marcus Stoinis","Sheikh Zayed Stadium","Abu Dhabi","Neutral"
"Delhi Capitals","Mumbai Indians",156,157,"Delhi Capitals","Bat","Mumbai Indians","5 wickets","Trent Boult","Dubai International Cricket Stadium","Dubai","Neutral"
"Royal Challengers Bangalore","Chennai Super Kings",70,71,"Chennai Super Kings","Field","Chennai Super Kings","7 wickets","Harbhajan Singh","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Sunrisers Hyderabad","Kolkata Knight Riders",181,183,"Kolkata Knight Riders","Field","Kolkata Knight Riders","6 wickets","Andre Russell","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Mumbai Indians",213,176,"Mumbai Indians","Field","Delhi Capitals","37 runs","Rishabh Pant","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Rajasthan Royals",184,170,"Rajasthan Royals","Field","Punjab Kings","14 runs","Chris Gayle","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Delhi Capitals","Chennai Super Kings",147,150,"Delhi Capitals","Bat","Chennai Super Kings","6 wickets","Shane Watson","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Kolkata Knight Riders","Punjab Kings",218,190,"Punjab Kings","Field","Kolkata Knight Riders","28 runs","Andre Russell","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Mumbai Indians","Royal Challengers Bangalore",187,181,"Royal Challengers Bangalore","Field","Mumbai Indians","6 runs","Jasprit Bumrah","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Rajasthan Royals","Sunrisers Hyderabad",198,201,"Rajasthan Royals","Bat","Sunrisers Hyderabad","5 wickets","Rashid Khan","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Mumbai Indians","Punjab Kings",176,177,"Punjab Kings","Field","Punjab Kings","8 wickets","Mayank Agarwal","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Kolkata Knight Riders","Delhi Capitals",185,185,"Delhi Capitals","Field","Tied","Tied","Prithvi Shaw","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Sunrisers Hyderabad","Royal Challengers Bangalore",231,113,"Royal Challengers Bangalore","Field","Sunrisers Hyderabad","118 runs","Jonny Bairstow","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Chennai Super Kings","Rajasthan Royals",175,167,"Rajasthan Royals","Field","Chennai Super Kings","8 runs","MS Dhoni","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Punjab Kings","Delhi Capitals",166,152,"Delhi Capitals","Field","Punjab Kings","14 runs","Sam Curran","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Royal Challengers Bangalore","Rajasthan Royals",158,164,"Rajasthan Royals","Field","Rajasthan Royals","7 wickets","Shreyas Gopal","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Mumbai Indians","Chennai Super Kings",170,133,"Chennai Super Kings","Field","Mumbai Indians","37 runs","Hardik Pandya","Wankhede Stadium","Mumbai","Mumbai Indians"
"Delhi Capitals","Sunrisers Hyderabad",129,131,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","5 wickets","Jonny Bairstow","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Royal Challengers Bangalore","Kolkata Knight Riders",205,206,"Kolkata Knight Riders","Field","Kolkata Knight Riders","5 wickets","Andre Russell","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Chennai Super Kings","Punjab Kings",160,138,"Chennai Super Kings","Bat","Chennai Super Kings","22 runs","Harbhajan Singh","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Mumbai Indians","Sunrisers Hyderabad",136,96,"Sunrisers Hyderabad","Field","Mumbai Indians","40 runs","Alzarri Joseph","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Royal Challengers Bangalore","Delhi Capitals",149,152,"Delhi Capitals","Field","Delhi Capitals","4 wickets","Kagiso Rabada","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Rajasthan Royals","Kolkata Knight Riders",139,140,"Kolkata Knight Riders","Field","Kolkata Knight Riders","8 wickets","Harry Gurney","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Sunrisers Hyderabad","Punjab Kings",150,151,"Punjab Kings","Field","Punjab Kings","6 wickets","KL Rahul","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Kolkata Knight Riders","Chennai Super Kings",108,111,"Chennai Super Kings","Field","Chennai Super Kings","7 wickets","Deepak Chahar","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Punjab Kings","Mumbai Indians",197,198,"Mumbai Indians","Field","Mumbai Indians","3 wickets","Kieron Pollard","Wankhede Stadium","Mumbai","Mumbai Indians"
"Rajasthan Royals","Chennai Super Kings",151,155,"Chennai Super Kings","Field","Chennai Super Kings","4 wickets","MS Dhoni","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Kolkata Knight Riders","Delhi Capitals",178,180,"Delhi Capitals","Field","Delhi Capitals","7 wickets","Shikhar Dhawan","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Mumbai Indians","Rajasthan Royals",187,188,"Rajasthan Royals","Field","Rajasthan Royals","4 wickets","Jos Buttler","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Royal Challengers Bangalore",173,174,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","8 wickets","AB de Villiers","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Kolkata Knight Riders","Chennai Super Kings",161,162,"Chennai Super Kings","Field","Chennai Super Kings","5 wickets","Imran Tahir","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Sunrisers Hyderabad",155,116,"Sunrisers Hyderabad","Field","Delhi Capitals","39 runs","Keemo Paul","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Royal Challengers Bangalore","Mumbai Indians",171,172,"Mumbai Indians","Field","Mumbai Indians","5 wickets","Lasith Malinga","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Rajasthan Royals",182,170,"Rajasthan Royals","Field","Punjab Kings","12 runs","Ravichandran Ashwin","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Chennai Super Kings","Sunrisers Hyderabad",132,137,"Chennai Super Kings","Bat","Sunrisers Hyderabad","6 wickets","David Warner","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Mumbai Indians","Delhi Capitals",168,128,"Mumbai Indians","Bat","Mumbai Indians","40 runs","Hardik Pandya","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Royal Challengers Bangalore","Kolkata Knight Riders",213,203,"Kolkata Knight Riders","Field","Royal Challengers Bangalore","10 runs","Virat Kohli","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Mumbai Indians","Rajasthan Royals",161,162,"Rajasthan Royals","Field","Rajasthan Royals","5 wickets","Steven Smith","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Punjab Kings","Delhi Capitals",163,166,"Delhi Capitals","Field","Delhi Capitals","5 wickets","Shreyas Iyer","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Kolkata Knight Riders","Sunrisers Hyderabad",159,161,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","9 wickets","Khaleel Ahmed","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Royal Challengers Bangalore","Chennai Super Kings",161,160,"Chennai Super Kings","Field","Royal Challengers Bangalore","1 run","Parthiv Patel","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Rajasthan Royals","Delhi Capitals",191,193,"Delhi Capitals","Field","Delhi Capitals","6 wickets","Rishabh Pant","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Sunrisers Hyderabad","Chennai Super Kings",175,176,"Chennai Super Kings","Field","Chennai Super Kings","6 wickets","Shane Watson","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Royal Challengers Bangalore","Punjab Kings",202,185,"Punjab Kings","Field","Royal Challengers Bangalore","17 runs","AB de Villiers","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Kolkata Knight Riders","Rajasthan Royals",175,177,"Rajasthan Royals","Field","Rajasthan Royals","3 wickets","Varun Aaron","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Mumbai Indians","Chennai Super Kings",155,109,"Chennai Super Kings","Field","Mumbai Indians","46 runs","Rohit Sharma","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Sunrisers Hyderabad","Rajasthan Royals",160,161,"Rajasthan Royals","Field","Rajasthan Royals","7 wickets","Jaydev Unadkat","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Delhi Capitals","Royal Challengers Bangalore",187,171,"Delhi Capitals","Bat","Delhi Capitals","16 runs","Shikhar Dhawan","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Kolkata Knight Riders","Mumbai Indians",232,198,"Mumbai Indians","Field","Kolkata Knight Riders","34 runs","Andre Russell","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Sunrisers Hyderabad","Punjab Kings",212,167,"Punjab Kings","Field","Sunrisers Hyderabad","45 runs","David Warner","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Chennai Super Kings","Delhi Capitals",179,99,"Delhi Capitals","Field","Chennai Super Kings","80 runs","MS Dhoni","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Mumbai Indians","Sunrisers Hyderabad",162,162,"Mumbai Indians","Bat","Tied","Tied","Jasprit Bumrah","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Kolkata Knight Riders",183,185,"Kolkata Knight Riders","Field","Kolkata Knight Riders","7 wickets","Shubman Gill","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Rajasthan Royals","Delhi Capitals",115,121,"Rajasthan Royals","Bat","Delhi Capitals","5 wickets","Amit Mishra","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Sunrisers Hyderabad","Royal Challengers Bangalore",175,178,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","4 wickets","Shimron Hetmyer","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Chennai Super Kings","Punjab Kings",170,173,"Punjab Kings","Field","Punjab Kings","6 wickets","KL Rahul","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Kolkata Knight Riders","Mumbai Indians",133,134,"Mumbai Indians","Field","Mumbai Indians","9 wickets","Hardik Pandya","Wankhede Stadium","Mumbai","Mumbai Indians"
"Chennai Super Kings","Mumbai Indians",131,132,"Chennai Super Kings","Bat","Mumbai Indians","6 wickets","Suryakumar Yadav","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Sunrisers Hyderabad","Delhi Capitals",162,165,"Delhi Capitals","Field","Delhi Capitals","2 wickets","Rishabh Pant","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","Neutral"
"Delhi Capitals","Chennai Super Kings",147,151,"Chennai Super Kings","Field","Chennai Super Kings","6 wickets","Faf du Plessis","Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium","Visakhapatnam","Neutral"
"Mumbai Indians","Chennai Super Kings",149,148,"Mumbai Indians","Bat","Mumbai Indians","1 run","Jasprit Bumrah","Rajiv Gandhi International Stadium","Hyderabad","Neutral"
"Mumbai Indians","Chennai Super Kings",165,169,"Chennai Super Kings","Field","Chennai Super Kings","1 wicket","Dwayne Bravo","Wankhede Stadium","Mumbai","Mumbai Indians"
"Delhi Capitals","Punjab Kings",166,167,"Punjab Kings","Field","Punjab Kings","6 wickets","KL Rahul","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Royal Challengers Bangalore","Kolkata Knight Riders",176,177,"Kolkata Knight Riders","Field","Kolkata Knight Riders","4 wickets","Sunil Narine","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Rajasthan Royals","Sunrisers Hyderabad",125,127,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","9 wickets","Shikhar Dhawan","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Kolkata Knight Riders","Chennai Super Kings",202,205,"Chennai Super Kings","Field","Chennai Super Kings","5 wickets","Sam Billings","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Mumbai Indians","Sunrisers Hyderabad",147,151,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","1 wicket","Rashid Khan","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Punjab Kings","Royal Challengers Bangalore",155,159,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","4 wickets","Umesh Yadav","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Mumbai Indians","Delhi Capitals",194,195,"Delhi Capitals","Field","Delhi Capitals","7 wickets","Jason Roy","Wankhede Stadium","Mumbai","Mumbai Indians"
"Kolkata Knight Riders","Sunrisers Hyderabad",138,139,"Sunrisers Hyderabad","Field","Sunrisers Hyderabad","5 wickets","Billy Stanlake","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Rajasthan Royals","Royal Challengers Bangalore",217,198,"Royal Challengers Bangalore","Field","Rajasthan Royals","19 runs","Sanju Samson","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Punjab Kings","Chennai Super Kings",197,193,"Chennai Super Kings","Field","Punjab Kings","4 runs","Chris Gayle","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Kolkata Knight Riders","Delhi Capitals",200,129,"Delhi Capitals","Field","Kolkata Knight Riders","71 runs","Nitish Rana","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Mumbai Indians","Royal Challengers Bangalore",213,167,"Royal Challengers Bangalore","Field","Mumbai Indians","46 runs","Rohit Sharma","Wankhede Stadium","Mumbai","Mumbai Indians"
"Rajasthan Royals","Kolkata Knight Riders",160,163,"Kolkata Knight Riders","Field","Kolkata Knight Riders","7 wickets","Nitish Rana","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Punjab Kings","Sunrisers Hyderabad",193,178,"Punjab Kings","Bat","Punjab Kings","15 runs","Chris Gayle","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Chennai Super Kings","Rajasthan Royals",204,140,"Rajasthan Royals","Field","Chennai Super Kings","64 runs","Shane Watson","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Kolkata Knight Riders","Punjab Kings",191,126,"Punjab Kings","Field","Punjab Kings","9 wickets","KL Rahul","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Royal Challengers Bangalore",174,176,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","6 wickets","AB de Villiers","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Chennai Super Kings","Sunrisers Hyderabad",182,178,"Sunrisers Hyderabad","Field","Chennai Super Kings","4 runs","Ambati Rayudu","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Mumbai Indians","Rajasthan Royals",167,168,"Mumbai Indians","Bat","Rajasthan Royals","3 wickets","Jofra Archer","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Punjab Kings","Delhi Capitals",143,139,"Delhi Capitals","Field","Punjab Kings","4 runs","Ankit Rajpoot","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Sunrisers Hyderabad","Mumbai Indians",118,87,"Mumbai Indians","Field","Sunrisers Hyderabad","31 runs","Rashid Khan","Wankhede Stadium","Mumbai","Mumbai Indians"
"Royal Challengers Bangalore","Chennai Super Kings",205,207,"Chennai Super Kings","Field","Chennai Super Kings","5 wickets","MS Dhoni","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Sunrisers Hyderabad","Punjab Kings",132,119,"Punjab Kings","Field","Sunrisers Hyderabad","13 runs","Ankit Rajpoot","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Delhi Capitals","Kolkata Knight Riders",219,164,"Kolkata Knight Riders","Field","Delhi Capitals","55 runs","Shreyas Iyer","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Chennai Super Kings","Mumbai Indians",169,170,"Mumbai Indians","Field","Mumbai Indians","8 wickets","Rohit Sharma","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Sunrisers Hyderabad","Rajasthan Royals",151,140,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","11 runs","Kane Williamson","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Royal Challengers Bangalore","Kolkata Knight Riders",175,176,"Kolkata Knight Riders","Field","Kolkata Knight Riders","6 wickets","Chris Lynn","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Chennai Super Kings","Delhi Capitals",211,198,"Delhi Capitals","Field","Chennai Super Kings","13 runs","Shane Watson","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Royal Challengers Bangalore","Mumbai Indians",167,153,"Mumbai Indians","Field","Royal Challengers Bangalore","14 runs","Tim Southee","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Chennai Super Kings","Kolkata Knight Riders",177,180,"Kolkata Knight Riders","Field","Kolkata Knight Riders","6 wickets","Sunil Narine","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Punjab Kings","Mumbai Indians",174,176,"Mumbai Indians","Field","Mumbai Indians","6 wickets","Suryakumar Yadav","Holkar Cricket Stadium","Indore","Neutral"
"Royal Challengers Bangalore","Chennai Super Kings",127,128,"Chennai Super Kings","Field","Chennai Super Kings","6 wickets","Ravindra Jadeja","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Delhi Capitals","Sunrisers Hyderabad",163,164,"Delhi Capitals","Bat","Sunrisers Hyderabad","7 wickets","Rashid Khan","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Mumbai Indians","Kolkata Knight Riders",181,168,"Kolkata Knight Riders","Field","Mumbai Indians","13 runs","Hardik Pandya","Wankhede Stadium","Mumbai","Mumbai Indians"
"Rajasthan Royals","Punjab Kings",152,155,"Punjab Kings","Field","Punjab Kings","6 wickets","Mujeeb Ur Rahman","Holkar Cricket Stadium","Indore","Neutral"
"Sunrisers Hyderabad","Royal Challengers Bangalore",146,141,"Royal Challengers Bangalore","Field","Sunrisers Hyderabad","5 runs","Kane Williamson","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Rajasthan Royals","Punjab Kings",158,143,"Rajasthan Royals","Bat","Rajasthan Royals","15 runs","Jos Buttler","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Mumbai Indians","Kolkata Knight Riders",210,108,"Kolkata Knight Riders","Field","Mumbai Indians","102 runs","Ishan Kishan","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Sunrisers Hyderabad",187,191,"Delhi Capitals","Bat","Sunrisers Hyderabad","9 wickets","Shikhar Dhawan","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Chennai Super Kings","Rajasthan Royals",176,177,"Chennai Super Kings","Bat","Rajasthan Royals","4 wickets","Jos Buttler","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Kolkata Knight Riders","Punjab Kings",245,214,"Punjab Kings","Field","Kolkata Knight Riders","31 runs","Sunil Narine","Holkar Cricket Stadium","Indore","Neutral"
"Delhi Capitals","Royal Challengers Bangalore",181,187,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","5 wickets","AB de Villiers","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Sunrisers Hyderabad","Chennai Super Kings",179,180,"Chennai Super Kings","Field","Chennai Super Kings","8 wickets","Ambati Rayudu","Maharashtra Cricket Association Stadium","Pune","Neutral"
"Mumbai Indians","Rajasthan Royals",168,171,"Rajasthan Royals","Field","Rajasthan Royals","7 wickets","Jos Buttler","Wankhede Stadium","Mumbai","Mumbai Indians"
"Punjab Kings","Royal Challengers Bangalore",88,92,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","10 wickets","Umesh Yadav","Holkar Cricket Stadium","Indore","Neutral"
