"team1","team2","team1_score","team2_score","toss_winner","toss_choice","winner","margin","man_of_the_match","stadium","place","Home_Ground"
"Punjab Kings","Mumbai Indians",168,171,"Punjab Kings","Bat","Mumbai Indians","4 wickets","Ambati Rayudu","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Sunrisers Hyderabad","Pune Warriors",177,159,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","18 runs","Cameron White","Maharashtra Cricket Association Stadium","Pune","Pune Warriors"
"Delhi Capitals","Mumbai Indians",207,170,"Mumbai Indians","Field","Delhi Capitals","37 runs","Virender Sehwag","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Punjab Kings","Chennai Super Kings",156,149,"Punjab Kings","Bat","Punjab Kings","7 runs","Mandeep Singh","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Kolkata Knight Riders","Royal Challengers Bangalore",190,143,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","47 runs","Gautam Gambhir","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Rajasthan Royals",152,151,"Delhi Capitals","Bat","Delhi Capitals","1 run","Virender Sehwag","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Sunrisers Hyderabad","Mumbai Indians",100,101,"Mumbai Indians","Field","Mumbai Indians","5 wickets","Dale Steyn","Wankhede Stadium","Mumbai","Mumbai Indians"
"Chennai Super Kings","Kolkata Knight Riders",139,140,"Chennai Super Kings","Bat","Kolkata Knight Riders","5 wickets","Gautam Gambhir","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Sunrisers Hyderabad","Pune Warriors",186,173,"Sunrisers Hyderabad","Bat","Sunrisers Hyderabad","13 runs","Kumar Sangakkara","Barabati Stadium","Cuttack","Neutral"
"Rajasthan Royals","Delhi Capitals",141,144,"Rajasthan Royals","Bat","Delhi Capitals","6 wickets","Pawan Negi","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Royal Challengers Bangalore","Punjab Kings",158,163,"Punjab Kings","Field","Punjab Kings","4 wickets","Azhar Mahmood","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Mumbai Indians","Pune Warriors",120,119,"Mumbai Indians","Bat","Mumbai Indians","1 run","Lasith Malinga","Maharashtra Cricket Association Stadium","Pune","Rising Pune Supergiants"
"Chennai Super Kings","Sunrisers Hyderabad",160,150,"Chennai Super Kings","Bat","Chennai Super Kings","10 runs","Suresh Raina","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Kolkata Knight Riders","Pune Warriors",150,143,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","7 runs","Sunil Narine","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Rajasthan Royals","Punjab Kings",177,134,"Rajasthan Royals","Bat","Rajasthan Royals","43 runs","Shane Watson","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Chennai Super Kings","Mumbai Indians",173,174,"Mumbai Indians","Field","Mumbai Indians","2 wickets","Dwayne Smith","Wankhede Stadium","Mumbai","Mumbai Indians"
"Sunrisers Hyderabad","Royal Challengers Bangalore",181,185,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","5 wickets","AB de Villiers","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Delhi Capitals","Kolkata Knight Riders",153,154,"Delhi Capitals","Bat","Kolkata Knight Riders","6 wickets","Jacques Kallis","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Pune Warriors","Rajasthan Royals",125,126,"Pune Warriors","Bat","Rajasthan Royals","7 wickets","Shane Watson","Maharashtra Cricket Association Stadium","Pune","Pune Warriors"
"Punjab Kings","Sunrisers Hyderabad",170,145,"Sunrisers Hyderabad","Field","Punjab Kings","25 runs","Mandeep Singh","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Mumbai Indians","Royal Challengers Bangalore",141,142,"Royal Challengers Bangalore","Field","Royal Challengers Bangalore","9 wickets","Chris Gayle","Wankhede Stadium","Mumbai","Mumbai Indians"
"Sunrisers Hyderabad","Delhi Capitals",187,193,"Sunrisers Hyderabad","Bat","Delhi Capitals","9 wickets","David Warner","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Rajasthan Royals","Chennai Super Kings",126,127,"Chennai Super Kings","Field","Chennai Super Kings","4 wickets","Ben Hilfenhaus","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Royal Challengers Bangalore","Pune Warriors",173,138,"Pune Warriors","Field","Royal Challengers Bangalore","35 runs","Chris Gayle","Maharashtra Cricket Association Stadium","Pune","Rising Pune Supergiants"
"Mumbai Indians","Kolkata Knight Riders",182,155,"Mumbai Indians","Bat","Mumbai Indians","27 runs","Rohit Sharma","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Delhi Capitals","Chennai Super Kings",114,115,"Chennai Super Kings","Field","Chennai Super Kings","9 wickets","Ben Hilfenhaus","MA Chidambaram Stadium","Chennai","Chennai Super Kings"
"Rajasthan Royals","Pune Warriors",170,125,"Rajasthan Royals","Bat","Rajasthan Royals","45 runs","Ajit  Chandila","Sawai Mansingh Stadium","Jaipur","Rajasthan Royals"
"Sunrisers Hyderabad","Punjab Kings",190,194,"Sunrisers Hyderabad","Bat","Punjab Kings","4 wickets","David Hussey","Punjab Cricket Association IS Bindra Stadium","Mohali","Neutral"
"Royal Challengers Bangalore","Mumbai Indians",171,173,"Mumbai Indians","Field","Mumbai Indians","5 wickets","Ambati Rayudu","M Chinnaswamy Stadium","Bangalore","Royal Challengers Bangalore"
"Kolkata Knight Riders","Chennai Super Kings",158,160,"Chennai Super Kings","Field","Chennai Super Kings","5 wickets","Michael Hussey","Eden Gardens","Kolkata","Kolkata Knight Riders"
"Punjab Kings","Delhi Capitals",136,140,"Punjab Kings","Bat","Delhi Capitals","5 wickets","Umesh Yadav","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Kolkata Knight Riders","Mumbai Indians",140,108,"Mumbai Indians","Field","Kolkata Knight Riders","32 runs","Sunil Narine","Wankhede Stadium","Mumbai","Mumbai Indians"
"Chennai Super Kings","Punjab Kings",120,123,"Punjab Kings","Field","Punjab Kings","6 wickets","Adam Gilchrist","Punjab Cricket Association IS Bindra Stadium","Dharamsala","Neutral"
"Royal Challengers Bangalore","Delhi Capitals",215,194,"Delhi Capitals","Field","Royal Challengers Bangalore","21 runs","Chris Gayle","Arun Jaitley Stadium","Delhi","Delhi Capitals"
"Rajasthan Royals","Sunrisers Hyderabad",126,128,"Rajasthan Royals","Bat","Sunrisers Hyderabad","5 wickets","Dale Steyn","Rajiv Gandhi International Stadium","Hyderabad","Sunrisers Hyderabad"
"Punjab Kings","Delhi Capitals",141,145,"Delhi Capitals","Field","Delhi Capitals","6 wickets","Umesh Yadav","Punjab Cricket Association IS Bindra Stadium","Dharamsala","Neutral"
"Kolkata Knight Riders","Pune Warriors",136,102,"Kolkata Knight Riders","Bat","Kolkata Knight Riders","34 runs","Shakib Al Hasan","Maharashtra Cricket Association Stadium","Pune","Pune Warriors"
